Yaw;Pitch;Roll;Ang_vel_x;Ang_vel_y;Ang_vel_z;u(z);t;setpoint
356.75;0.5;-1.125;0.02;-0.02;-0.02;-662.8;0.04;180
356.75;0.375;-1.0625;0.03;-0.03;-0.01;-547.9;0.09;180
356.8125;0.3125;-1;0.03;-0.04;-0.01;-557;0.14;180
356.8125;0.25;-0.875;0.03;-0.05;-0.01;-565.8;0.19;180
356.8125;0.125;-0.75;0.03;-0.04;-0.01;-574.6;0.24;180
356.875;0.0625;-0.625;0.02;-0.03;-0.02;-583.7;0.29;180
356.9375;0;-0.5625;0.01;-0.02;-0.02;-592.7;0.34;180
357;0;-0.5;0;-0.01;-0.02;-601.8;0.39;180
357;0;-0.5;-0.01;0;-0.02;-610.6;0.44;180
357.0625;0.0625;-0.5;-0.03;0.02;-0.01;-619.7;0.49;180
356.875;0.125;-0.5625;-0.02;0.03;0.15;-627.8;0.54;180
355.8125;0.125;-0.5;-0.03;0.03;0.55;-632.8;0.59;180
354.0625;0.125;-0.5;-0.02;0.02;1.02;-635.7;0.64;180
350.6875;0.0625;-0.4375;-0.01;0.01;1.41;-633;0.69;180
346.125;0;-0.4375;-0.01;0.01;1.81;-626.8;0.74;180
340.5625;0;-0.4375;0.02;0.01;2.13;-617.4;0.79;180
334.25;-0.125;-0.4375;0.04;0.01;2.34;-605.7;0.84;180
327.625;-0.3125;-0.4375;0.06;0.01;2.44;-593;0.88;180
320.75;-0.5625;-0.4375;0.09;0.02;2.47;-579.2;0.94;180
313.9375;-0.9375;-0.4375;0.09;0.02;2.47;-565.5;0.98;180
307.125;-1.3125;-0.375;0.12;0.04;2.43;-551.4;1.03;180
300.4375;-1.6875;-0.3125;0.12;0.06;2.39;-537.5;1.08;180
295.1875;-2;-0.3125;0.12;0.07;2.35;-528.5;1.13;180
288.6875;-2.3125;-0.25;0.09;0.08;2.3;-513.6;1.18;180
282.375;-2.5625;-0.25;0.07;0.11;2.27;-499.9;1.23;180
276.125;-2.8125;-0.3125;0.05;0.13;2.24;-486;1.27;180
269.9375;-2.9375;-0.375;0.03;0.14;2.21;-471.9;1.32;180
265.0625;-3;-0.4375;0.01;0.15;2.18;-462.5;1.37;180
259.0625;-3.0625;-0.5625;-0.01;0.16;2.15;-447.7;1.41;180
253.1875;-3.0625;-0.6875;-0.03;0.16;2.09;-433.8;1.46;180
248.625;-3.0625;-0.75;-0.04;0.15;2.05;-424.4;1.51;180
243.0625;-3;-0.875;-0.06;0.14;1.98;-410.2;1.55;180
237.625;-2.875;-0.9375;-0.06;0.11;1.92;-396.9;1.61;180
233.4375;-2.8125;-0.875;-0.06;0.11;1.92;-387.9;1.65;180
228.375;-2.6875;-0.8125;-0.07;0.08;1.85;-374.5;1.7;180
223.4375;-2.5625;-0.6875;-0.07;0.02;1.74;-361.9;1.74;180
218.75;-2.375;-0.5;-0.07;-0.01;1.67;-350;1.79;180
215.0625;-2.1875;-0.3125;-0.06;-0.04;1.62;-341.4;1.84;180
210.6875;-2;0;-0.05;-0.05;1.58;-329.3;1.89;180
206.4375;-1.875;0.1875;-0.03;-0.06;1.5;-317.9;1.94;180
202.3125;-1.75;0.5;-0.01;-0.07;1.45;-306.8;1.99;180
198.375;-1.625;0.8125;0.01;-0.06;1.41;-296;2.04;180
195.25;-1.625;1;0.03;-0.05;1.38;-288;2.08;180
191.5;-1.625;1.1875;0.06;-0.02;1.35;-276.9;2.13;180
187.8125;-1.6875;1.3125;0.09;0;1.31;-266.2;2.18;180
185;-1.75;1.3125;0.1;0.02;1.26;-258.7;2.22;180
181.5;-1.9375;1.3125;0.11;0.05;1.22;-247.7;2.27;180
178.1875;-2.125;1.25;0.11;0.07;1.16;-237.8;2.31;180
175.6875;-2.25;1.1875;0.11;0.07;1.16;-230.7;2.36;180
172.625;-2.375;1;0.08;0.09;1.07;-220.8;2.41;180
169.75;-2.4375;0.8125;0.05;0.1;1.02;-211.7;2.46;180
167.5625;-2.5;0.6875;0.01;0.1;0.97;-205;2.5;180
164.9375;-2.375;0.5;-0.02;0.1;0.92;-196.1;2.55;180
162.375;-2.25;0.3125;-0.05;0.09;0.87;-187.6;2.6;180
160;-2;0.125;-0.08;0.07;0.84;-179.6;2.65;180
157.75;-1.6875;0.0625;-0.1;0.05;0.8;-171.8;2.7;180
155.625;-1.375;0;-0.11;0.02;0.76;-164.3;2.75;180
153.5625;-1;0;-0.11;0;0.74;-156.8;2.8;180
151.5625;-0.6875;0.0625;-0.1;-0.02;0.71;-149.5;2.85;180
149.625;-0.4375;0.1875;-0.07;-0.04;0.69;-142.2;2.9;180
148.0625;-0.25;0.25;-0.03;-0.06;0.68;-136.2;2.95;180
146.25;-0.1875;0.4375;0;-0.06;0.65;-128.9;3;180
144.4375;-0.1875;0.625;0.03;-0.07;0.64;-121.6;3.05;180
142.75;-0.25;0.75;0.06;-0.06;0.6;-114.8;3.09;180
141.125;-0.4375;0.9375;0.09;-0.04;0.57;-108;3.14;180
139.625;-0.6875;1;0.11;-0.03;0.53;-101.6;3.19;180
138.1875;-0.9375;1.0625;0.12;0;0.5;-95.2;3.24;180
137.125;-1.1875;1.0625;0.12;0.02;0.46;-90.2;3.29;180
135.875;-1.4375;1;0.1;0.04;0.43;-84.1;3.34;180
134.75;-1.625;0.875;0.07;0.06;0.39;-78.5;3.38;180
133.75;-1.75;0.6875;0.03;0.08;0.36;-73.3;3.43;180
132.9375;-1.75;0.5;0.03;0.08;0.36;-68.6;3.48;180
132.0625;-1.625;0.25;-0.05;0.09;0.31;-63.6;3.52;180
131.25;-1.375;0.0625;-0.09;0.08;0.28;-58.7;3.57;180
130.6875;-1.1875;-0.0625;-0.1;0.07;0.26;-54.8;3.62;180
130;-0.8125;-0.1875;-0.11;0.05;0.23;-50.1;3.66;180
129.4375;-0.5;-0.3125;-0.12;0.02;0.2;-46;3.71;180
